Label,Pixel in mm
Patient00168_Plane3_3_of_3.png,0.114285714
Patient00188_Plane3_3_of_3.png,0.106382979
Patient00216_Plane3_4_of_5.png,0.181818182
Patient00305_Plane3_4_of_5.png,0.13368984
Patient00644_Plane3_2_of_3.png,0.096711799
Patient00657_Plane3_1_of_1.png,0.162337662
Patient00662_Plane3_1_of_1.png,0.189393939
Patient00675_Plane3_1_of_1.png,0.162337662
Patient00687_Plane3_1_of_1.png,0.151515152
Patient00690_Plane3_3_of_4.png,0.181818182
Patient00692_Plane3_4_of_5.png,0.174825175
Patient00694_Plane3_2_of_3.png,0.181818182
Patient00694_Plane3_3_of_3.png,0.181818182
Patient00696_Plane3_1_of_1.png,0.174825175
Patient00704_Plane3_2_of_5.png,0.189393939
Patient00706_Plane3_5_of_5.png,0.181818182
Patient00707_Plane3_1_of_7.png,0.156739812
Patient00708_Plane3_5_of_6.png,0.156739812
Patient00710_Plane3_3_of_6.png,0.13368984
Patient00712_Plane3_3_of_4.png,0.168350168
Patient00712_Plane3_4_of_4.png,0.105708245
Patient00713_Plane3_1_of_4.png,0.151515152
Patient00714_Plane3_3_of_8.png,0.110864745
Patient00715_Plane3_2_of_2.png,0.181818182
Patient00716_Plane3_6_of_6.png,0.156739812
Patient00717_Plane3_3_of_3.png,0.151515152
Patient00718_Plane3_5_of_5.png,0.174825175
Patient00720_Plane3_1_of_2.png,0.076379023
Patient00721_Plane3_3_of_3.png,0.094894667
Patient00722_Plane3_5_of_5.png,0.142045455
Patient00724_Plane3_1_of_3.png,0.162337662
Patient00725_Plane3_3_of_4.png,0.09469697
Patient00726_Plane3_1_of_3.png,0.108225108
Patient00728_Plane3_1_of_2.png,0.162337662
Patient00729_Plane3_3_of_3.png,0.151515152
Patient00731_Plane3_2_of_4.png,0.189393939
Patient00736_Plane3_1_of_5.png,0.156739812
Patient00736_Plane3_4_of_5.png,0.110864745
Patient00738_Plane3_4_of_4.png,0.069589422
Patient00742_Plane3_3_of_4.png,0.080295487
Patient00744_Plane3_1_of_2.png,0.189393939
Patient00746_Plane3_3_of_6.png,0.09469697
Patient00746_Plane3_5_of_6.png,0.108225108
Patient00747_Plane3_1_of_3.png,0.156739812
Patient00747_Plane3_3_of_3.png,0.156739812
Patient00748_Plane3_2_of_2.png,0.181818182
Patient00749_Plane3_3_of_4.png,0.116550117
Patient00751_Plane3_2_of_2.png,0.118170903
Patient00752_Plane3_1_of_3.png,0.160590975
Patient00754_Plane3_2_of_3.png,0.084635306
Patient00758_Plane3_1_of_3.png,0.105708245
Patient00759_Plane3_1_of_4.png,0.113636364
Patient00760_Plane3_3_of_4.png,0.227272727
Patient00765_Plane3_2_of_6.png,0.09469697
Patient00765_Plane3_3_of_6.png,0.119617225
Patient00766_Plane3_1_of_3.png,0.101010101
Patient00768_Plane3_3_of_3.png,0.097860764
Patient00770_Plane3_3_of_3.png,0.107984364
Patient00771_Plane3_2_of_3.png,0.084635306
Patient00772_Plane3_3_of_3.png,0.094894667
Patient00776_Plane3_3_of_6.png,0.162337662
Patient00777_Plane3_3_of_3.png,0.151515152
Patient00778_Plane3_3_of_5.png,0.108225108
Patient00778_Plane3_5_of_5.png,0.108225108
Patient00779_Plane3_1_of_3.png,0.119617225
Patient00781_Plane3_1_of_2.png,0.122850123
Patient00782_Plane3_4_of_4.png,0.110864745
Patient00786_Plane3_3_of_3.png,0.116550117
Patient00788_Plane3_1_of_3.png,0.108225108
Patient00790_Plane3_1_of_5.png,0.108225108
Patient00790_Plane3_2_of_5.png,0.108225108
Patient00791_Plane3_3_of_3.png,0.119617225
Patient00793_Plane3_2_of_2.png,0.122850123
Patient00794_Plane3_3_of_3.png,0.145651572
Patient00797_Plane3_2_of_3.png,0.189789334
Patient00798_Plane3_1_of_2.png,0.149120191
Patient00799_Plane3_2_of_3.png,0.116550117
Patient00801_Plane3_2_of_3.png,0.162337662
Patient00801_Plane3_3_of_3.png,0.162337662
Patient00802_Plane3_1_of_1.png,0.181818182
Patient00803_Plane3_5_of_5.png,0.122850123
Patient00804_Plane3_2_of_5.png,0.108225108
Patient00804_Plane3_4_of_5.png,0.108225108
Patient00806_Plane3_2_of_4.png,0.122850123
Patient00807_Plane3_3_of_5.png,0.142045455
Patient00807_Plane3_4_of_5.png,0.293255132
Patient00807_Plane3_5_of_5.png,0.142045455
Patient00809_Plane3_1_of_3.png,0.080295487
Patient00815_Plane3_3_of_3.png,0.181818182
Patient00816_Plane3_4_of_6.png,0.168350168
Patient00817_Plane3_2_of_2.png,0.151515152
Patient00818_Plane3_1_of_2.png,0.110864745
Patient00819_Plane3_3_of_4.png,0.103305785
Patient00821_Plane3_2_of_3.png,0.168350168
Patient00822_Plane3_2_of_6.png,0.096711799
Patient00823_Plane3_1_of_4.png,0.092764378
Patient00825_Plane3_1_of_2.png,0.108225108
Patient00826_Plane3_2_of_5.png,0.110864745
Patient00829_Plane3_4_of_5.png,0.103305785
Patient00830_Plane3_2_of_3.png,0.098814229
Patient00832_Plane3_1_of_3.png,0.101010101
Patient00834_Plane3_3_of_3.png,0.094894667
Patient00835_Plane3_3_of_3.png,0.092103082
Patient00837_Plane3_1_of_7.png,0.137741047
Patient00837_Plane3_4_of_7.png,0.151515152
Patient00838_Plane3_4_of_4.png,0.142045455
Patient00843_Plane3_3_of_6.png,0.119617225
Patient00843_Plane3_4_of_6.png,0.122850123
Patient00843_Plane3_5_of_6.png,0.119617225
Patient00846_Plane3_2_of_2.png,0.168350168
Patient00847_Plane3_2_of_4.png,0.189393939
Patient00848_Plane3_2_of_4.png,0.105708245
Patient00850_Plane3_2_of_4.png,0.119617225
Patient00852_Plane3_3_of_3.png,0.142342676
Patient00853_Plane3_3_of_3.png,0.142342676
Patient00854_Plane3_1_of_3.png,0.106382979
Patient00855_Plane3_3_of_3.png,0.086986778
Patient00858_Plane3_1_of_3.png,0.197628458
Patient00861_Plane3_3_of_4.png,0.108225108
Patient00862_Plane3_1_of_2.png,0.20661157
Patient00863_Plane3_1_of_3.png,0.084175084
Patient00867_Plane3_3_of_3.png,0.160590975
Patient00870_Plane3_5_of_5.png,0.160590975
Patient00871_Plane3_4_of_4.png,0.189789334
Patient00873_Plane3_2_of_3.png,0.092592593
Patient00875_Plane3_3_of_3.png,0.097860764
Patient00876_Plane3_2_of_2.png,0.09469697
Patient00879_Plane3_4_of_4.png,0.137741047
Patient00881_Plane3_1_of_2.png,0.126262626
Patient00883_Plane3_2_of_2.png,0.174825175
Patient00884_Plane3_3_of_3.png,0.098814229
Patient00886_Plane3_1_of_2.png,0.20661157
Patient00890_Plane3_3_of_4.png,0.097860764
Patient00890_Plane3_4_of_4.png,0.089472648
Patient00892_Plane3_3_of_3.png,0.169270613
Patient00894_Plane3_6_of_6.png,0.168350168
Patient00895_Plane3_1_of_3.png,0.142045455
Patient00895_Plane3_2_of_3.png,0.142045455
Patient00899_Plane3_2_of_4.png,0.197628458
Patient00899_Plane3_3_of_4.png,0.197628458
Patient00901_Plane3_1_of_5.png,0.105708245
Patient00901_Plane3_3_of_5.png,0.105708245
Patient00901_Plane3_5_of_5.png,0.12987013
Patient00902_Plane3_1_of_5.png,0.189393939
Patient00902_Plane3_2_of_5.png,0.116550117
Patient00902_Plane3_3_of_5.png,0.174825175
Patient00902_Plane3_5_of_5.png,0.174825175
Patient00903_Plane3_1_of_1.png,0.098814229
Patient00904_Plane3_1_of_4.png,0.092764378
Patient00904_Plane3_2_of_4.png,0.092764378
Patient00906_Plane3_3_of_3.png,0.097860764
Patient00910_Plane3_2_of_3.png,0.107805088
Patient00911_Plane3_3_of_3.png,0.195721527
Patient00912_Plane3_1_of_5.png,0.12987013
Patient00912_Plane3_3_of_5.png,0.142045455
Patient00912_Plane3_5_of_5.png,0.12987013
Patient00913_Plane3_2_of_3.png,0.162337662
Patient00913_Plane3_3_of_3.png,0.162337662
Patient00914_Plane3_4_of_4.png,0.20661157
Patient00917_Plane3_5_of_5.png,0.113636364
Patient00918_Plane3_1_of_2.png,0.119617225
Patient00921_Plane3_3_of_3.png,0.103305785
Patient00923_Plane3_2_of_3.png,0.121580547
Patient00923_Plane3_3_of_3.png,0.121580547
Patient00924_Plane3_2_of_2.png,0.097860764
Patient00925_Plane3_2_of_2.png,0.092103082
Patient00926_Plane3_1_of_4.png,0.133256933
Patient00927_Plane3_1_of_1.png,0.101016223
Patient00928_Plane3_4_of_9.png,0.151515152
Patient00930_Plane3_2_of_6.png,0.174825175
Patient00930_Plane3_3_of_6.png,0.142045455
Patient00930_Plane3_6_of_6.png,0.174825175
Patient00933_Plane3_4_of_4.png,0.110864745
Patient00940_Plane3_1_of_2.png,0.197628458
Patient00945_Plane3_3_of_4.png,0.098814229
Patient00946_Plane3_2_of_2.png,0.162337662
Patient00949_Plane3_2_of_2.png,0.162337662
Patient00950_Plane3_1_of_5.png,0.110864745
Patient00950_Plane3_5_of_5.png,0.119617225
Patient00951_Plane3_2_of_3.png,0.142045455
Patient00952_Plane3_2_of_2.png,0.111317667
Patient00954_Plane3_2_of_2.png,0.101016223
Patient00955_Plane3_1_of_3.png,0.084635306
Patient00957_Plane3_3_of_3.png,0.149120191
Patient00958_Plane3_6_of_6.png,0.151515152
Patient00959_Plane3_3_of_4.png,0.142045455
Patient00960_Plane3_2_of_3.png,0.151515152
Patient00962_Plane3_4_of_5.png,0.174825175
Patient00964_Plane3_3_of_4.png,0.122850123
Patient00966_Plane3_2_of_2.png,0.174825175
Patient00967_Plane3_2_of_5.png,0.116550117
Patient00969_Plane3_1_of_4.png,0.092764378
Patient00971_Plane3_2_of_2.png,0.122850123
Patient00975_Plane3_2_of_3.png,0.097860764
Patient00977_Plane3_3_of_4.png,0.122850123
Patient00978_Plane3_1_of_3.png,0.101010101
Patient00981_Plane3_1_of_3.png,0.101010101
Patient00984_Plane3_3_of_8.png,0.168350168
Patient00985_Plane3_1_of_2.png,0.096711799
